,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,22.83055406132329,18.52824098977945,5.899408284023669,57.7880580957504,1.4523937600860677,115.36309844002152,0.0,569.3883808499193,8.298009682625068,4.175901022054868,26.506724045185585,18.596557288864982,278.24045185583645,6.447014523937601,71.46584185045724,1.231845077998924,223.17912856374394
1,2,35.67697594501718,21.914089347079038,0.0,45.446735395189,0.0,84.51546391752578,0.0,523.5670103092783,3.917525773195876,0.0,54.06872852233677,0.0,265.12027491408935,35.27147766323024,80.6701030927835,27.0446735395189,248.35395189003435
2,4,28.09139150943396,21.75117924528302,18.359669811320753,52.925707547169814,0.0,125.14445754716981,2.6297169811320753,565.4316037735849,7.524174528301887,3.1350235849056602,22.631485849056602,14.85554245283019,274.9439858490566,12.30247641509434,72.01238207547169,6.807193396226415,202.7311320754717
3,5,37.62306101344364,8.611168562564632,16.062564632885213,53.57187176835574,0.6514994829369183,106.14219234746639,1.4891416752843847,584.6592554291624,3.3521199586349533,9.49741468459152,30.97311271975181,3.6758014477766285,256.2140641158221,23.329886246122026,83.74922440537746,4.335573940020683,203.2052740434333
4,6,26.982274741506647,4.284659210803967,19.192656678624182,59.51761975100232,0.0,103.38320320742773,1.4897657733699092,566.9227685165647,7.761764085250053,3.7355982274741506,26.336146866427516,8.453893226419076,248.07575437856087,17.125553914327917,85.51171133150454,4.580502215657312,248.8719139058873
5,8,23.3993399339934,11.383309759547384,10.798208392267798,62.657237152286655,0.2828854314002829,102.52569542668553,1.15983026874116,570.3823668081094,9.066478076379067,1.94012258368694,30.89014615747289,2.2583686940122583,246.36633663366337,21.966525223950967,73.4922206506365,9.368222536539369,250.33239038189532
6,9,54.23857868020305,0.5922165820642978,0.0,67.19966159052453,0.0,127.70558375634518,6.345177664974619,567.5583756345178,4.991539763113368,0.494077834179357,26.923857868020306,1.1844331641285957,288.3553299492386,4.763113367174281,65.30118443316412,2.749576988155668,197.38071065989848
7,10,0.0,0.8111111111111111,0.0,87.44444444444444,0.0,97.72222222222223,0.0,559.6666666666666,0.8666666666666667,0.0,2.888888888888889,0.0,248.98888888888888,0.0,84.72222222222223,0.0,341.72222222222223
8,11,0.0,0.0,0.0,120.0,0.0,85.72413793103448,0.0,682.551724137931,0.0,0.0,3.7241379310344827,0.0,266.2068965517241,173.68965517241378,77.93103448275862,20.862068965517242,0.0
9,12,22.844834797156,4.386240066917607,7.568381430363864,60.180886658301965,0.05855290673358427,116.07653701380175,1.7409033877038895,565.2513592639064,12.864910079464659,4.514638226683396,31.959849435382687,5.153701380175659,264.9349644500209,9.945629443747386,82.19845253032204,5.725637808448348,231.53157674613132
