,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,156.0,0.0,144.0,93.0,0.0,85.0,0.0,647.0,0.0,0.0,0.0,0.0,142.8,24.0,40.2,0.0,108.0
1,2,8.333333333333334,26.470588235294116,0.0,103.70588235294117,0.0,67.45098039215686,0.0,663.4313725490196,10.0,0.0,20.0,0.0,429.7450980392157,0.0,110.86274509803921,0.0,0.0
2,4,0.0,0.0,0.0,60.0,0.0,0.0,0.0,420.0,0.0,0.0,220.0,0.0,655.0,0.0,85.0,0.0,0.0
3,5,0.0,0.0,0.0,33.94736842105263,0.0,187.76315789473685,0.0,547.6315789473684,0.0,0.0,0.0,0.0,325.39473684210526,0.0,42.89473684210526,0.0,302.36842105263156
4,6,46.11544461778471,0.9890795631825273,31.916276651066042,82.61414456578264,0.8112324492979719,109.47477899115965,1.185647425897036,577.231929277171,2.232969318772751,3.515340613624545,40.707228289131564,15.105564222568903,198.92459698387935,6.302652106084244,71.50598023920956,2.0280811232449296,242.10764430577223
5,8,120.76923076923077,0.0,0.0,41.97115384615385,0.0,244.375,0.0,534.0192307692307,0.0,0.0,31.153846153846153,0.0,122.45192307692308,0.0,53.58653846153846,0.0,291.6730769230769
6,9,70.22448979591837,1.836734693877551,0.0,60.0,0.0,97.6938775510204,0.0,474.0816326530612,0.0,0.0,18.367346938775512,0.0,290.48979591836735,0.0,137.75510204081633,0.0,245.46938775510205
7,10,0.0,0.0,0.0,60.0,0.0,20.0,0.0,421.0,0.0,0.0,0.0,0.0,479.0,0.0,20.0,0.0,440.0
8,12,67.25321888412017,0.0,33.55364806866953,86.18025751072962,0.0,139.07725321888412,0.0,533.7596566523605,0.0,0.0,20.021459227467812,2.832618025751073,152.00429184549355,11.416309012875537,35.75965665236051,0.0,352.3905579399142
9,13,88.96478873239437,0.0,0.0,118.76760563380282,0.0,120.0,0.0,639.4647887323944,0.0,0.0,10.035211267605634,15.528169014084508,202.71830985915494,5.492957746478873,61.978873239436616,18.950704225352112,132.53521126760563
10,15,25.756521739130434,3.965217391304348,59.869565217391305,46.97826086956522,0.0,144.08695652173913,0.0,477.0826086956522,0.0,0.0,10.630434782608695,10.73913043478261,226.98260869565217,28.121739130434783,76.93478260869566,0.0,288.1565217391304
